Outcome,PC,Selected,LASSO_Coefficient,LASSO_Alpha,Model_R2_insample,Model_R2_CV,N_selected
X,1,1,0.017578743,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,1,1,0.036992967,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,1,1,0.014831786,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,2,1,-0.10708524,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,2,1,-0.3829998,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,2,1,-0.2388347,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,3,1,-0.02444488,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,3,1,0.039886292,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,3,0,0.0,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,4,1,-0.05413613,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,4,1,-0.15355639,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,4,1,-0.07816287,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,5,1,-0.123460144,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,5,1,-0.15880026,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,5,1,-0.15256326,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,6,1,0.055223655,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,6,1,0.079300284,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,6,1,0.07038583,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,7,1,-0.017756963,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,7,0,-0.0,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,7,1,-0.014051239,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,8,1,-0.041907888,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,8,1,-0.040981695,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,8,1,-0.034340065,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,9,1,-0.059238162,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,9,1,-0.015060552,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,9,1,-0.08154831,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,10,1,0.06741565,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,10,1,0.095843695,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,10,1,0.033121254,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,11,1,0.001333896,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,11,1,0.034098696,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,11,1,0.056799833,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,12,0,-0.0,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,12,1,-0.016161999,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
