Outcome,PC,Selected,LASSO_Coefficient,PostLASSO_Coefficient,Std_Error,t_statistic,p_value,CI_95_lower,CI_95_upper,Model_R2_insample,Model_R2_CV,N_selected
X,1,1,0.61160696,0.620400939029284,0.013793837953129481,44.976672999738284,0.0,0.5933650166411502,0.6474368614174177,0.6231461983797097,0.6023266676625999,40
AI,1,1,0.20372416,0.2136404583186835,0.020133930920008623,10.610966093380835,2.649947529087271e-26,0.1741779537154666,0.2531029629219004,0.26787529537075605,0.22086883849060582,40
HU,1,1,-0.71902865,-0.7226251261535668,0.011264486197327402,-64.15074007769799,0.0,-0.7447035191003285,-0.700546733206805,0.7361314040098569,0.7174261750782035,48
X,2,1,0.12998724,0.13878127339279675,0.014659468433365557,9.467005848378841,2.8797995583600424e-21,0.11004871526340027,0.16751383152219324,0.6231461983797097,0.6023266676625999,40
AI,2,1,0.19458543,0.2045017316710838,0.02036442051357242,10.042109056566972,9.952311625434258e-24,0.16458746746448186,0.24441599587768573,0.26787529537075605,0.22086883849060582,40
HU,2,1,-0.003043612,-0.006640137641826787,0.012552633995574162,-0.5289836096685351,0.5968168199490222,-0.031243300273152145,0.01796302498949857,0.7361314040098569,0.7174261750782035,48
X,3,1,0.18780226,0.19659629337082069,0.014677588502563546,13.394318374335384,6.527253187654681e-41,0.16782821990579613,0.22536436683584524,0.6231461983797097,0.6023266676625999,40
AI,3,1,0.12143323,0.1313495403343128,0.021097256157028104,6.225906314862488,4.787801137551152e-10,0.0899989182665377,0.17270016240208785,0.26787529537075605,0.22086883849060582,40
HU,3,1,-0.15197861,-0.15557513705279213,0.012686676431631594,-12.262875772956408,1.4332167802124052e-34,-0.18044102285879005,-0.13070925124679422,0.7361314040098569,0.7174261750782035,48
X,4,0,-0.0,0.0,0.0,,,,,0.6231461983797097,0.6023266676625999,40
AI,4,0,-0.0,0.0,0.0,,,,,0.26787529537075605,0.22086883849060582,40
HU,4,1,0.01033891,0.013935434425515132,0.013264191747152727,1.0506056223521114,0.29343975775614495,-0.01206238139890421,0.03993325024993447,0.7361314040098569,0.7174261750782035,48
X,5,1,-0.06856453,-0.07735856618955364,0.014351549364511364,-5.3902588650704555,7.035626287931628e-08,-0.10548760294399591,-0.04922952943511137,0.6231461983797097,0.6023266676625999,40
AI,5,1,0.056258246,0.06617455190952246,0.021312917272069055,3.1049035223462975,0.0019034109860521398,0.02440123405626711,0.1079478697627778,0.26787529537075605,0.22086883849060582,40
HU,5,1,0.17470235,0.1782988568357552,0.012459024288017002,14.31082023070151,1.872912247795629e-46,0.15387916923124187,0.20271854444026852,0.7361314040098569,0.7174261750782035,48
X,6,1,0.20848408,0.2172781213069469,0.01389081303007345,15.641857739827199,3.775509137086763e-55,0.19005212776800295,0.24450411484589085,0.6231461983797097,0.6023266676625999,40
AI,6,1,0.07638726,0.08630356262060257,0.01978333148523297,4.362438282198467,1.2862087652557545e-05,0.04752823290954595,0.1250788923316592,0.26787529537075605,0.22086883849060582,40
HU,6,1,-0.2281876,-0.23178411429614856,0.011759519168159845,-19.710339426439205,1.7578394824711817e-86,-0.2548327718657419,-0.20873545672655527,0.7361314040098569,0.7174261750782035,48
X,7,1,0.21873906,0.2275331060933125,0.015104898483291536,15.06353096944021,2.8135009521734247e-51,0.1979275050660611,0.2571387071205639,0.6231461983797097,0.6023266676625999,40
AI,7,1,0.19122364,0.20113993161585708,0.02182158700522066,9.217474951191027,3.041786169671509e-20,0.15836962108562458,0.24391024214608958,0.26787529537075605,0.22086883849060582,40
HU,7,1,-0.12562466,-0.12922118772171912,0.012124706240726429,-10.657675753633523,1.6055982336452068e-26,-0.1529856119535429,-0.10545676348989531,0.7361314040098569,0.7174261750782035,48
X,8,1,0.07272401,0.0815180320327715,0.015613376468549626,5.221038011667438,1.779230126550219e-07,0.050915814154414235,0.11212024991112876,0.6231461983797097,0.6023266676625999,40
AI,8,1,-0.0074479426,-0.017364243788403677,0.021018186882166136,-0.8261532683933447,0.40871715357169325,-0.05855989007744931,0.023831402500641953,0.26787529537075605,0.22086883849060582,40
HU,8,1,-0.13914058,-0.14273708824716336,0.012779896496947692,-11.168876702659855,5.790855955893204e-29,-0.16778568538118083,-0.11768849111314589,0.7361314040098569,0.7174261750782035,48
