Outcome,PC,Selected,LASSO_Coefficient,LASSO_Alpha,Model_R2_insample,Model_R2_CV,N_selected
X,1,1,0.021159627,0.008444448350219758,0.13534554146443167,0.0778265447016607,43
AI,1,1,0.04612834,0.006974634313259821,0.36603151010875756,0.32372629702315053,42
HU,1,1,0.021031503,0.00829520752913907,0.23295417625592973,0.19412647066113486,46
X,2,1,-0.110669725,0.008444448350219758,0.13534554146443167,0.0778265447016607,43
AI,2,1,-0.39213955,0.006974634313259821,0.36603151010875756,0.32372629702315053,42
HU,2,1,-0.2450283,0.00829520752913907,0.23295417625592973,0.19412647066113486,46
X,3,1,-0.028052045,0.008444448350219758,0.13534554146443167,0.0778265447016607,43
AI,3,1,0.049003832,0.006974634313259821,0.36603151010875756,0.32372629702315053,42
HU,3,0,0.0,0.00829520752913907,0.23295417625592973,0.19412647066113486,46
X,4,1,-0.057728104,0.008444448350219758,0.13534554146443167,0.0778265447016607,43
AI,4,1,-0.1627136,0.006974634313259821,0.36603151010875756,0.32372629702315053,42
HU,4,1,-0.084390864,0.00829520752913907,0.23295417625592973,0.19412647066113486,46
X,5,1,-0.1270612,0.008444448350219758,0.13534554146443167,0.0778265447016607,43
AI,5,1,-0.1679759,0.006974634313259821,0.36603151010875756,0.32372629702315053,42
HU,5,1,-0.15886278,0.00829520752913907,0.23295417625592973,0.19412647066113486,46
X,6,1,0.05868558,0.008444448350219758,0.13534554146443167,0.0778265447016607,43
AI,6,1,0.08842711,0.006974634313259821,0.36603151010875756,0.32372629702315053,42
HU,6,1,0.076672524,0.00829520752913907,0.23295417625592973,0.19412647066113486,46
X,7,1,-0.021173008,0.008444448350219758,0.13534554146443167,0.0778265447016607,43
AI,7,0,-0.0,0.006974634313259821,0.36603151010875756,0.32372629702315053,42
HU,7,1,-0.020301452,0.00829520752913907,0.23295417625592973,0.19412647066113486,46
X,8,1,-0.04554052,0.008444448350219758,0.13534554146443167,0.0778265447016607,43
AI,8,1,-0.050122157,0.006974634313259821,0.36603151010875756,0.32372629702315053,42
HU,8,1,-0.04051984,0.00829520752913907,0.23295417625592973,0.19412647066113486,46
X,9,1,-0.06325122,0.008444448350219758,0.13534554146443167,0.0778265447016607,43
AI,9,1,-0.024552243,0.006974634313259821,0.36603151010875756,0.32372629702315053,42
HU,9,1,-0.08778445,0.00829520752913907,0.23295417625592973,0.19412647066113486,46
X,10,1,0.070796765,0.008444448350219758,0.13534554146443167,0.0778265447016607,43
AI,10,1,0.104839616,0.006974634313259821,0.36603151010875756,0.32372629702315053,42
HU,10,1,0.039061833,0.00829520752913907,0.23295417625592973,0.19412647066113486,46
X,11,1,0.005111742,0.008444448350219758,0.13534554146443167,0.0778265447016607,43
AI,11,1,0.04333801,0.006974634313259821,0.36603151010875756,0.32372629702315053,42
HU,11,1,0.06340777,0.00829520752913907,0.23295417625592973,0.19412647066113486,46
X,12,0,-0.0,0.008444448350219758,0.13534554146443167,0.0778265447016607,43
AI,12,1,-0.025737802,0.006974634313259821,0.36603151010875756,0.32372629702315053,42
HU,12,1,0.0033161964,0.00829520752913907,0.23295417625592973,0.19412647066113486,46
X,13,1,0.01208873,0.008444448350219758,0.13534554146443167,0.0778265447016607,43
AI,13,1,-0.08697792,0.006974634313259821,0.36603151010875756,0.32372629702315053,42
HU,13,0,-0.0,0.00829520752913907,0.23295417625592973,0.19412647066113486,46
X,14,1,0.149789,0.008444448350219758,0.13534554146443167,0.0778265447016607,43
AI,14,1,0.19173251,0.006974634313259821,0.36603151010875756,0.32372629702315053,42
HU,14,1,0.15033792,0.00829520752913907,0.23295417625592973,0.19412647066113486,46
X,15,1,-0.014520107,0.008444448350219758,0.13534554146443167,0.0778265447016607,43
AI,15,1,-0.017139187,0.006974634313259821,0.36603151010875756,0.32372629702315053,42
HU,15,1,-0.032146096,0.00829520752913907,0.23295417625592973,0.19412647066113486,46
X,16,1,0.020759135,0.008444448350219758,0.13534554146443167,0.0778265447016607,43
