Outcome,PC,Selected,LASSO_Coefficient,PostLASSO_Coefficient,Std_Error,t_statistic,p_value,CI_95_lower,CI_95_upper,Model_R2_insample,Model_R2_CV,N_selected
X,1,1,0.021159627,0.029604071101609022,0.023487000863118845,1.2604449275639824,0.2075089030249827,-0.01643045059010391,0.07563859279332195,0.138411815460191,0.07818128493656877,43
AI,1,1,0.04612834,0.05310296498320588,0.018885507450812442,2.811836807748654,0.004925948843388875,0.016087370379613497,0.09011855958679826,0.3680746239841085,0.32621072981209526,42
HU,1,1,0.021031503,0.029326703848525235,0.021017345866464573,1.3953571509387934,0.16290816584607015,-0.01186729404974533,0.0705207017467958,0.23611945631324804,0.19384145915219206,46
X,2,1,-0.110669725,-0.11911416900674482,0.02089682511363769,-5.700108430778248,1.1973124738864015e-08,-0.16007194622947468,-0.07815639178401496,0.138411815460191,0.07818128493656877,43
AI,2,1,-0.39213955,-0.39911416756114654,0.017364281342879026,-22.98477890792875,6.618823302969505e-117,-0.4331481589931894,-0.36508017612910365,0.3680746239841085,0.32621072981209526,42
HU,2,1,-0.2450283,-0.25332349928811426,0.019614589452761316,-12.915054882907667,3.7018002160271744e-38,-0.29176809461552644,-0.21487890396070208,0.23611945631324804,0.19384145915219206,46
X,3,1,-0.028052045,-0.03649649284554711,0.021020883160998927,-1.7362016888643783,0.08252817876328095,-0.077697423841105,0.004704438150010787,0.138411815460191,0.07818128493656877,43
AI,3,1,0.049003832,0.055978470402936326,0.01772007280082288,3.159042913206136,0.0015828818115285526,0.02124712771332348,0.09070981309254916,0.3680746239841085,0.32621072981209526,42
HU,3,0,0.0,0.0,0.0,,,,,0.23611945631324804,0.19384145915219206,46
X,4,1,-0.057728104,-0.06617255451643897,0.020779233065967156,-3.1845523030789016,0.0014497810901329144,-0.1068998513257346,-0.025445257707143343,0.138411815460191,0.07818128493656877,43
AI,4,1,-0.1627136,-0.1696882338560589,0.018354758306088313,-9.244917913180744,2.3542134340049918e-20,-0.20566356013599202,-0.1337129075761258,0.3680746239841085,0.32621072981209526,42
HU,4,1,-0.084390864,-0.09268609210473355,0.019901669037608677,-4.657201962789269,3.205359642153272e-06,-0.13169336341844656,-0.05367882079102055,0.23611945631324804,0.19384145915219206,46
X,5,1,-0.1270612,-0.1355056589417576,0.022056721230315404,-6.143508707700157,8.071824499102336e-10,-0.1787368325531758,-0.0922744853303394,0.138411815460191,0.07818128493656877,43
AI,5,1,-0.1679759,-0.17495053446461736,0.018133334977509415,-9.64800654052918,5.012052939224307e-22,-0.21049187102053582,-0.1394091979086989,0.3680746239841085,0.32621072981209526,42
HU,5,1,-0.15886278,-0.16715799896964662,0.021440504051461615,-7.796365167928565,6.3715832994907685e-15,-0.20918138691051139,-0.12513461102878184,0.23611945631324804,0.19384145915219206,46
X,6,1,0.05868558,0.0671300240806227,0.022859259997707954,2.9366665450829847,0.0033176062425869057,0.02232587448511511,0.11193417367613029,0.138411815460191,0.07818128493656877,43
AI,6,1,0.08842711,0.09540173770470885,0.017905336515325256,5.32811754881312,9.923589434470891e-08,0.06030727813467135,0.13049619727474635,0.3680746239841085,0.32621072981209526,42
HU,6,1,0.076672524,0.08496772731906807,0.021379138274196262,3.974328910235854,7.057797445168789e-05,0.0430646163016434,0.12687083833649274,0.23611945631324804,0.19384145915219206,46
X,7,1,-0.021173008,-0.0296174389422123,0.021308286441739568,-1.389949352482723,0.16454425760288627,-0.07138168036802185,0.012146802483597254,0.138411815460191,0.07818128493656877,43
AI,7,0,-0.0,0.0,0.0,,,,,0.3680746239841085,0.32621072981209526,42
HU,7,1,-0.020301452,-0.028596656394281387,0.020919651912384204,-1.3669757276100987,0.17163291366150502,-0.06959917414255443,0.01240586135399165,0.23611945631324804,0.19384145915219206,46
X,8,1,-0.04554052,-0.05398496225914077,0.019760926516362843,-2.7319044081480213,0.006296940804679198,-0.09271637823121194,-0.015253546287069597,0.138411815460191,0.07818128493656877,43
AI,8,1,-0.050122157,-0.057096792983943344,0.019879398320743997,-2.8721590091770177,0.004076777804900691,-0.09606041369260157,-0.01813317227528511,0.3680746239841085,0.32621072981209526,42
HU,8,1,-0.04051984,-0.048815061279124876,0.020639166649865724,-2.3651662931576,0.018021976698642448,-0.0892678279128617,-0.008362294645388055,0.23611945631324804,0.19384145915219206,46
X,9,1,-0.06325122,-0.07169567356520257,0.019850412737355706,-3.611797624251979,0.0003040818326576535,-0.11060248253041975,-0.03278886459998538,0.138411815460191,0.07818128493656877,43
AI,9,1,-0.024552243,-0.031526876218011826,0.01726312395369869,-1.8262555666384515,0.06781177484280837,-0.06536259916726125,0.0023088467312376085,0.3680746239841085,0.32621072981209526,42
HU,9,1,-0.08778445,-0.09607965252001056,0.019262585260598666,-4.987889798808059,6.104236976375495e-07,-0.13383431963078396,-0.05832498540923718,0.23611945631324804,0.19384145915219206,46
X,10,1,0.070796765,0.0792412162347245,0.025712088383772286,3.0818662044089793,0.002057072752706289,0.028845523002530828,0.1296369094669182,0.138411815460191,0.07818128493656877,43
AI,10,1,0.104839616,0.11181426008483018,0.020572351048357505,5.43517169340533,5.474369370258374e-08,0.07149245203004947,0.1521360681396109,0.3680746239841085,0.32621072981209526,42
HU,10,1,0.039061833,0.047357031948410025,0.022982061292944445,2.060608547891601,0.039340400611463294,0.0023121918142389175,0.09240187208258113,0.23611945631324804,0.19384145915219206,46
X,11,1,0.005111742,0.013556181246267143,0.021411801265049404,0.6331172739023582,0.5266570627305015,-0.028410949233229687,0.05552331172576397,0.138411815460191,0.07818128493656877,43
AI,11,1,0.04333801,0.05031264927544117,0.019167806405165255,2.6248517024818834,0.008668671389767773,0.012743748721317276,0.08788154982956506,0.3680746239841085,0.32621072981209526,42
HU,11,1,0.06340777,0.07170298127939462,0.020267169617391487,3.5378882514441226,0.0004033407213696243,0.031979328829307305,0.11142663372948193,0.23611945631324804,0.19384145915219206,46
X,12,0,-0.0,0.0,0.0,,,,,0.138411815460191,0.07818128493656877,43
AI,12,1,-0.025737802,-0.03271243658962578,0.019518127097799876,-1.6760028472871866,0.09373763490037429,-0.07096796570131353,0.0055430925220619695,0.3680746239841085,0.32621072981209526,42
HU,12,1,0.0033161964,0.011611401146281551,0.020120823437698266,0.577083794916986,0.5638828508051017,-0.02782541279160705,0.05104821508417015,0.23611945631324804,0.19384145915219206,46
X,13,1,0.01208873,0.02053319173484985,0.01846970882616477,1.1117225467984577,0.2662574624899674,-0.0156674375644331,0.0567338210341328,0.138411815460191,0.07818128493656877,43
AI,13,1,-0.08697792,-0.09395256579325582,0.019000771863443705,-4.944671009603282,7.627256182326328e-07,-0.13119407864560548,-0.05671105294090616,0.3680746239841085,0.32621072981209526,42
HU,13,0,-0.0,0.0,0.0,,,,,0.23611945631324804,0.19384145915219206,46
X,14,1,0.149789,0.1582334823423839,0.02563860064022655,6.171689499079686,6.756408811834463e-10,0.10798182508753987,0.20848513959722795,0.138411815460191,0.07818128493656877,43
AI,14,1,0.19173251,0.19870713057679007,0.01907206018175708,10.418755429833354,2.035999464279006e-25,0.1613258926205462,0.23608836853303394,0.3680746239841085,0.32621072981209526,42
HU,14,1,0.15033792,0.1586331211410913,0.021937820598927876,7.231033749489403,4.793312008072476e-13,0.11563499276719266,0.20163124951498992,0.23611945631324804,0.19384145915219206,46
X,15,1,-0.014520107,-0.022964557732548754,0.022255730981208033,-1.03184917862007,0.3021427768705699,-0.0665857904557165,0.02065667499061899,0.138411815460191,0.07818128493656877,43
AI,15,1,-0.017139187,-0.024113832041494022,0.01871269125954982,-1.2886351678135977,0.19752495122669678,-0.06079070691021167,0.012563042827223623,0.3680746239841085,0.32621072981209526,42
HU,15,1,-0.032146096,-0.04044130009856087,0.020589740567953208,-1.9641481137215258,0.04951291792706465,-0.08079719161174916,-8.54085853725789e-05,0.23611945631324804,0.19384145915219206,46
X,16,1,0.020759135,0.029203587246043168,0.0207544567098714,1.407099576456421,0.15939786370183473,-0.011475147905304774,0.06988232239739112,0.138411815460191,0.07818128493656877,43
AI,16,0,0.0,0.0,0.0,,,,,0.3680746239841085,0.32621072981209526,42
HU,16,0,-0.0,0.0,0.0,,,,,0.23611945631324804,0.19384145915219206,46
X,17,1,-0.073712915,-0.08215736498839715,0.020948808057000702,-3.9218157312268507,8.788419258486803e-05,-0.12321702878011853,-0.04109770119667578,0.138411815460191,0.07818128493656877,43
AI,17,1,-0.11870131,-0.1256759320384184,0.018986771671898724,-6.619131161956534,3.6131616143563307e-11,-0.1628900045153399,-0.08846185956149691,0.3680746239841085,0.32621072981209526,42
HU,17,1,-0.16047616,-0.16877137962083755,0.022072437805741474,-7.646250092816517,2.0692503096041375e-14,-0.21203335772009083,-0.12550940152158427,0.23611945631324804,0.19384145915219206,46
X,18,1,-0.042268433,-0.05071288976872525,0.02157817600151473,-2.3501935365234456,0.018763651995952767,-0.09300611473169412,-0.008419664805756379,0.138411815460191,0.07818128493656877,43
AI,18,1,-0.062176432,-0.06915106331490797,0.01854378988615429,-3.7290685312682266,0.0001921888829722348,-0.10549689149177038,-0.03280523513804556,0.3680746239841085,0.32621072981209526,42
