ID,text,self_power,self_dominance,self_prestige,judge_power,judge_dominance,judge_prestige,AI_Power_mean,AI_Dom_mean,AI_Pres_mean
181,"Ich würde mich selbst als fleißig, diszipliniert und ehrgeizig beschreiben. Außerdem habe ich ein starkes Gefühl von Empathie gegenüber meinen Mitmenschen und allen Lebewesen und versuche gerne für andere da zu sein, zu helfen wo ich kann und mich in die Situation des anderen hinein zu versetzen. Gleichzeitig bin ich aber auch manchmal sehr eifersüchtig und neidisch oder auch mal schnell genervt und kann dann durchaus verletzend werden, was mir sehr schnell leid tut. Insgesamt möchte ich es gerne allen recht machen und alles was ich anpacke so perfekt wie möglich machen, weiß aber, dass das nicht immer nötig und auch nicht immer möglich ist.",5.5,4.125,5.444444444444445,4.4,4.475,4.466666666666667,2.5,2.375,5.555555555555555
182,Ich bin ein sehr zielstrebiger und ehrgeiziger Mensch. Außerdem bin ich offen und sehr kontaktfreudig. Ich liebe es mit meinen Freunden über Gott und die Welt zu philosophieren. Ich bin für meine Mitmenschen immer da.,5.375,4.375,4.888888888888889,5.9,3.475,6.1111111111111125,5.625,2.875,6.333333333333333
183,"Ich bin eine Frau, Partnerin, Mutter und Wissenschaftlerin. Ich lache gern und umgebe mich gern mit Menschen mit Humor und Verstand. Ich interessiere mich für gesellschaftspolitische Themen, Gesundheit, Kultur und Menschen. Am liebsten mache und höre ich Musik oder mache draußen Ausdauersport. Ich mag die Berge lieber als das Meer.",4.5,2.375,6.0,5.4,3.85,5.866666666666665,5.75,2.25,6.222222222222222
191,Bin für Freunde und Familie immer da. Auch wenn ich dabei nicht mehr an mich denke. Bin vom Typ her aber meistens jemand der die Richtung angibt. Abenteuerlustig und sportlich.,5.75,2.625,6.222222222222222,5.15,3.65,4.933333333333333,5.75,5.25,6.444444444444445
192,"Eine Selbstbeschreibung fällt mir schwer. Ich bin sehr hilfsbereit, offen für andere, sehr verständnisvoll und empathiefähig. Das steht mir aber manchmal auch im Weg, weil ich oft versuche, es anderen so leicht wie möglich zu machen und dabei auf mich und mein Wohl nicht besonders Rücksicht nehme. Ich mache sehr gerne Musik und mag praktische Arbeiten, bei denen man hinterher ein Ergebnis sehen kann.",5.25,2.875,5.555555555555555,3.925,2.15,4.955555555555556,2.125,1.0,5.444444444444445
196,"Ich bin sehr positiv, versuche in allem immer etwas gutes zu sehen, lache viel, bin recht kommunikativ und fühle mich eher selbstbewusst, durchsetzungsstark, wobei ich durchaus auch viele Kompromisse eingehe, sofern dies sinnvoll erscheint.",6.375,2.5,6.777777777777778,5.25,3.975,5.28888888888889,6.75,4.25,6.0
197,"Ich bin sehr zuverlässig, loyal und treu. Außerdem sehr direkt und ehrlich.
Leider bin ich auch manchmal kompliziert.
Ich habe in meinem Leben schon oft schwere Zeiten erlebt und nicht aufgeben.
",4.5,3.875,4.555555555555555,4.25,3.3,5.0666666666666655,4.375,4.75,5.0
198,"Ich versuche immer alle Situationen und Aufgaben so gut, gerecht, umweltfreundlich, zeitnah und zuverlässig zu erledigen und zu meistern.Ich bin in meiner Lebensführung eher bescheiden,mache mir nichts aus Statussymbolen und Luxusartikeln und versuche,so nachhaltig wie möglich zu wirtschaften und zu leben.Ich liebe alles in der Natur (Pflanzen, Tiere, Landschaften) und habe großes Interesse an anderen Kulturen, Völkern, Sprachen, Religionen. Ich halte es für wichtig mich politisch zu informieren und zu engagieren und Stellung zu beziehen zu aktuellen Problemen.",4.375,1.875,4.666666666666667,4.575,2.95,4.622222222222222,3.375,3.625,5.111111111111111
199,"Ich bin direkt, sarkastisch und humorvoll mit Hang zum Pessimismus. Ich denke insgesamt viel zu viel über alles mögliche nach und meistens handelt es sich hierbei um Dinge, auf die es nicht wirklich eine Antwort gibt. Ich bin gesellig und mag es, neue Menschen kennenzulernen, wobei ich aber nicht jeden mag. Man sagte zu mir, dass ich empathisch sei und dass man dazu neigt, sich mir gegenüber schnell zu öffnen, weil ich sehr interessiert wirke. Es ist aber auch so, dass ich selbst viel reden kann und ein großes Mitteilungsbedürfnis habe.",3.75,3.625,4.0,5.1,4.475,4.266666666666667,3.75,3.5,5.666666666666667
201,"Ich bin spontan, lustig, meistens gut drauf sagen zumindest die anderen. 
Richtig kennen mich nur wenige Menschen.
Ich bin eine gute Zuhörerin.
Ich liebe es Oma zu sein.
Ich bin mit Leib und Seele Camperin.",3.625,1.875,5.222222222222222,4.2,2.275,5.355555555555556,3.5,1.375,5.555555555555555
